code,month_label,rental_percentage
2322,8,0.0006746566530426373
2322,9,0.0005995811357121469
2322,10,0.000599283939870247
2322,11,0.0006704695531674815
2322,12,0.0006810621648448489
2323,1,0.0002901254764992104
2323,2,0.00028290877583098215
2323,3,0.0003423483195925352
2323,4,0.00030364184119277896
2323,5,0.00022731515431819065
2323,6,0.0002692327446662922
2323,7,0.00023455547646126699
2323,8,0.00023500091388456537
2323,9,0.0003002741991554722
2323,10,0.00035637696934454603
2323,11,0.0002722791367467355
2323,12,0.00027240899212698573
2324,1,0.0006851989320975284
2324,2,0.0005778758821032809
2324,3,0.0005904629198131571
2324,4,0.0005912491033422936
2324,5,0.0005813715051965533
2324,6,0.00038834949075103407
2324,7,0.0006449629877172149
2324,8,0.0006556001349306338
2324,9,0.0006832684619090161
2324,10,0.0007783541352031449
2324,11,0.0007726942125509004
2324,12,0.0006388814069615672
2325,1,0.0007619862733667976
2325,2,0.0007795091625256629
2325,3,0.0007466484906169756
2325,4,0.0006349831863725889
2325,5,0.0005809516334774765
2325,6,0.00037729227353125135
2325,7,0.0006931623963154358
2325,8,0.0007866762816143615
2325,9,0.0008648832238305067
2325,10,0.000926639416393229
2325,11,0.000880189186426917
2325,12,0.0007601711248298945
2326,1,0.0005427851113557133
2326,2,0.0004313035870732637
2326,3,0.00041459833726430526
2326,4,0.00028547266638829035
2326,5,0.00021104445686411178
2326,6,0.0003023690824713743
2326,7,0.00032728671134130274
2326,8,0.0003705046527590953
2326,9,0.00038865466994533895
2326,10,0.00047166247287604884
2326,11,0.0005302849649794604
2326,12,0.0004967608422192878
2327,1,0.001088824702825177
2327,2,0.0010975027957456332
2327,3,0.001097022703631212
2327,4,0.0009507488051407166
2327,5,0.0007888904809251914
2327,6,0.0005942929095294198
2327,7,0.0009349970812120275
2327,8,0.0010209427061157708
2327,9,0.0011415556319970621
2327,10,0.001210897145883889
2327,11,0.0012561390496332349
2327,12,0.0011868050487142904
2328,1,0.00047659484079202823
2328,2,0.0004910447381099714
2328,3,0.0005446527706592418
2328,4,0.0005526202062975018
2328,5,0.0004865245786273327
2328,6,0.0004514826025942439
2328,7,0.00026270818041671635
2328,8,0.0005047862326869425
2328,9,0.0005176526808052842
2328,10,0.0005394907208482271
2328,11,0.0005996723277892936
2328,12,0.0005546452935720918
2329,1,0.0004623126676751222
2329,2,0.0004362535691001498
2329,3,0.0004349758540696495
2329,4,0.00021211217017833942
2329,5,0.00026609187669875215
2329,6,0.00027917364600781687
2329,7,0.0004892570178753306
2329,8,0.00048056087058521155
2329,9,0.0003396980524600887
2329,10,0.0003446875936996422
2329,11,0.0005149347251701066
2329,12,0.0004653407576903742
233,1,0.00025369226513308353
233,2,0.0002383700843149569
233,3,0.00029082826269686396
233,4,0.00027230563232505313
233,5,0.00024491387711373253
233,6,0.00029641817474041653
233,7,0.0002988239079883678
233,8,0.0003585199513359837
233,9,0.0002802775889980088
233,10,0.0002637326504446015
233,11,0.00026022923560868334
233,12,0.0002235105527006918
2330,1,0.0005828063722158289
2330,2,0.0005674528349008069
2330,3,0.0004901027827628273
2330,4,0.0004000487658620567
2330,5,0.0003938652902555894
2330,6,0.00029123667402998303
2330,7,0.0004889656409683114
2330,8,0.0005639434467160499
2330,9,0.0005194827475934318
2330,10,0.0005347318535181148
2330,11,0.0006104209798824182
2330,12,0.0005884051369865598
2331,1,0.0005106716328529943
2331,2,0.0004447273843708801
2331,3,0.0004256930282833047
2331,4,0.0004791854884537873
2331,5,0.00025815572035002533
2331,6,0.0003206592993736998
2331,7,0.0005108461367692857
2331,8,0.0005418448442211387
2331,9,0.0005013848705333158
2331,10,0.0005140336776514601
2331,11,0.0006690043272193171
2331,12,0.0005598018124326155
2332,1,0.000801416128904964
2332,2,0.0007946949587816012
2332,3,0.0006251814511800164
2332,4,0.0004110733925489274
2332,5,0.0005013121227981361
2332,6,0.00046511229765742345
2332,7,0.0008146500461297778
2332,8,0.0009623681490645948
2332,9,0.000933563439533245
2332,10,0.0010143694928631043
2332,11,0.0011731300594499511
2332,12,0.0009745909013695695
2333,1,0.0011493127296320965
2333,2,0.0012194903474594628
2333,3,0.0009847744240146913
2333,4,0.000725732352021514
2333,5,0.0006117214018727139
2333,6,0.00043077239146606757
2333,7,0.0004145631676989835
2333,8,0.00024865133131856824
2333,9,0.0006167816810771357
2333,10,0.000699071634428896
2333,11,0.0007302916954667672
2333,12,0.0009562839466704477
2334,1,0.0003907693336342368
2334,2,0.0003356186453235858
