code,office,borough,address,latitude,longitude,install_date,LCD,QR,type
916,????? ?,???,????? ??? ??? 15-40,37.60784912,126.9213257,02/09/2016,7,,LCD
917,??? 4???,???,????? ??? ??? 55,37.60129929,126.9353485,02/09/2016,9,,LCD
919,??????,???,????? ??? ??? 15-2,37.60702515,126.9333115,02/09/2016,10,,LCD
921,??????,???,????? ??? ??? 242-14,37.63001633,126.9190292,02/09/2016,10,,LCD
922,???? 4???,???,????? ??? ??? 227-2,37.61780167,126.9219666,02/09/2016,10,,LCD
923,???? ????,???,????? ??? ??? 355,37.62094879,126.9256363,02/09/2016,10,,LCD
924,?????,???,????? ??? ??? 161-9,37.62851715,126.9295807,02/09/2016,15,,LCD
925,??? 2???,???,????? ??? ??? 285-43,37.60956573,126.9309769,02/09/2016,8,,LCD
927,???? 3??? ??,???,????? ??? ??? 304-5,37.61785507,126.9225235,02/09/2016,10,,LCD
928,?????????,???,????? ??? ??? 133-29,37.64131546,126.9380417,02/09/2016,15,,LCD
930,? ????? ???,???,????? ??? ??? 41-7,37.60166168,126.9203033,02/09/2016,7,,LCD
931,?????,???,????? ??? ??? 45-34,37.60473633,126.9153366,02/09/2016,20,,LCD
932,????,???,????? ??? ??? 117,37.61000443,126.9163971,02/09/2016,10,,LCD
933,LG??? ???,???,????? ??? ???? 163,37.61248398,126.9148789,02/09/2016,10,,LCD
934,??? ??,???,????? ??? ??? 41-3,37.59714127,126.9095993,01/11/2017,15,,LCD
937,???? ????2?? ?,???,????? ??? ??? 30-23,37.64585114,126.9237976,01/11/2017,15,,LCD
938,?? ????,???,????? ??? 44-28 ,37.64468384,126.918457,01/11/2017,15,,LCD
939,???? ???,???,????? ??? 82-31,37.60169983,126.9274216,01/11/2017,15,,LCD
941,????? ???,???,????? ??? 141-27,37.63722229,126.9333038,01/11/2017,11,,LCD
942,???? ????,???,????? ??? 16-4,37.64408112,126.9292831,01/11/2017,9,,LCD
943,???? ???,???,????? ??? 84,37.60240173,126.9286499,01/11/2017,10,,LCD
945,??? ???,???,????? ??? ??? 149-17,37.63414001,126.9323425,01/11/2017,10,,LCD
946,????,???,????? ??? ??? 129,37.61843872,126.9328842,30/05/2018,10,,LCD
947,??? ?????? ???,???,????? ??? 484-165,37.62266922,126.9199905,01/11/2017,10,,LCD
948,?????? ??? 4???,???,????? ??? 239,37.57720184,126.9023514,01/11/2017,10,,LCD
949,???? 1? ??,???,????? ??? 487-2,37.61978149,126.9208069,01/11/2017,7,,LCD
950,??? 2? ??,???,????? ??? 1-57,37.61077881,126.9173508,01/11/2017,5,,LCD
952,???????,???,????? ??? 400-4??,37.62265015,126.9252472,01/11/2017,10,,LCD
953,????????,???,????? ??? 73-1?? ,37.6257782,126.9288178,01/11/2017,10,,LCD
954,????????9??,???,????? ??? ??3? 77,37.64260864,126.9214783,28/11/2017,10,,LCD
956,???????,???,????? ??? ??? 248,37.59437561,126.9181595,28/11/2017,9,,LCD
958,???? ??? ?? ?,???,??? 98-69,37.60036087,126.9228134,16/10/2018,13,,LCD
959,???10?? ??,???,??? 72-23,37.6436615,126.9145584,18/10/2018,10,,LCD
960,???? ????,???,??? 67-26,37.63825226,126.9194565,18/10/2018,15,,LCD
961,??? 9? ??,???,??? 281-109,37.61096954,126.9298096,18/10/2018,8,,LCD
962,????? ?????,???,??? 70-4,37.63925934,126.9189072,18/10/2018,10,,LCD
963,????????,???,??? ??? 242-61 ,37.61442947,126.932579,16/10/2018,13,,LCD
964,???????? 7????,???,??? ??? 643-4,37.61654282,126.9251251,16/10/2018,10,,LCD
965,????? ????,???,??? ??? 232-3,37.59347916,126.9231873,16/10/2018,10,,LCD
966,??????1,???, ??? ??? 5,37.60903168,126.9346771,28/08/2018,10,,LCD
967,??????2,???,??? ??? 5,37.60890961,126.9324188,29/08/2018,13,,LCD
968,????? ???? 13??,???,??? ??4? 48-50,37.64208984,126.9294128,18/10/2018,7,,LCD
969,?? ?????,???,??? ??4? 78-38,37.64385986,126.9318771,14/12/2018,9,,LCD
971,?? ???? ???,???,??? ??? 221,37.60232925,126.9065476,14/12/2018,10,,LCD
972,???,???,??? 261,37.58216095,126.894928,14/06/2019,20,,LCD
973,??????? 5-1?? ???,???, ??? ??? 144-7 ,37.63734818,126.9358444,08/04/2020,,10,QR
974,??????? ????,???,???69,37.62672043,126.9290161,09/04/2020,,10,QR
975,??? ????????,???,???????38???,37.59036255,126.9230118,10/04/2020,,10,QR
976,???????,???,??4?26,37.64350891,126.9241028,09/04/2020,,10,QR
977,??????,???,??1?77-30,37.63310242,126.9315033,08/04/2020,,20,QR
978,?? ????????,???,???610,37.60100937,126.9359283,09/04/2020,,20,QR
979,?????,???,?????143,37.59186172,126.9060822,10/04/2020,,10,QR
982,???? ????,???,????32,37.60412598,126.925087,10/04/2020,,10,QR
984,??????? ?????,???,???316,37.59580994,126.9102631,10/04/2020,,10,QR
985,????????,???,???170,37.60119247,126.926384,10/04/2020,,10,QR
989,?? ??????? ?,???,???255,37.59181213,126.9148331,10/04/2020,,10,QR
