"","code","latitude","longitude","install_date","LCD","QR","type"
"142",442,37.553692,126.97216,2020-02-03,NA,20,"QR"
"143",443,37.562111,126.970718,2020-01-31,NA,9,"QR"
"144",444,37.557602,126.97258,2020-02-03,NA,20,"QR"
"145",445,37.560291,126.974548,2020-01-31,NA,10,"QR"
"146",466,37.565842,126.979813,2020-02-28,NA,20,"QR"
"147",467,37.562214,126.980866,2020-01-31,NA,16,"QR"
"148",468,37.564159,126.979485,2020-01-31,NA,10,"QR"
"149",469,37.559231,126.980141,2020-01-31,NA,16,"QR"
"150",470,37.55965,126.979889,2020-01-31,NA,20,"QR"
"151",471,37.56036,126.982651,2020-01-31,NA,10,"QR"
"152",472,37.567871,126.988983,2020-01-30,NA,12,"QR"
"153",473,37.566051,126.997986,2020-03-01,NA,20,"QR"
"154",474,37.566299,127.008492,2020-01-29,NA,30,"QR"
"155",475,37.56765,127.01181,2020-01-29,NA,16,"QR"
"156",476,37.56443,127.009956,2020-01-29,NA,10,"QR"
"157",477,37.559288,127.002686,2020-01-30,NA,10,"QR"
"158",479,37.559376,127.006027,2020-01-30,NA,13,"QR"
"159",480,37.554321,127.010704,2020-01-30,NA,8,"QR"
"160",481,37.567032,127.015793,2020-01-29,NA,16,"QR"
"161",482,37.55994,127.018478,2020-01-29,NA,10,"QR"
"162",483,37.547585,127.006439,2020-01-29,NA,16,"QR"
"163",484,37.555767,126.977188,2020-02-13,NA,20,"QR"
"164",485,37.557404,126.973251,2020-02-03,NA,30,"QR"
"165",3013,NA,NA,2020-06-30,NA,10,"QR"
"166",4761,NA,NA,2020-10-19,NA,10,"QR"
"167",4762,NA,NA,2020-09-23,NA,10,"QR"
"168",4772,NA,NA,2020-10-05,NA,10,"QR"
"169",4774,NA,NA,2020-09-23,NA,9,"QR"
"170",4775,NA,NA,2020-09-24,NA,10,"QR"
"171",4776,NA,NA,2020-10-19,NA,10,"QR"
"172",4778,NA,NA,2020-10-19,NA,10,"QR"
"173",4784,NA,NA,2020-10-19,NA,10,"QR"
"174",4785,NA,NA,2020-10-19,NA,8,"QR"
"175",4791,NA,NA,2020-10-19,NA,10,"QR"
"176",800,37.532433,126.954742,2016-06-29,15,NA,"LCD"
"177",802,37.541153,127.002213,2016-06-29,10,NA,"LCD"
"178",803,37.538139,127.004097,2016-06-29,10,NA,"LCD"
"179",805,37.536758,126.970001,2016-06-29,9,NA,"LCD"
"180",806,37.533066,126.960732,2016-06-29,20,NA,"LCD"
"181",807,37.552277,126.972687,2016-06-29,10,NA,"LCD"
"182",808,37.520504,126.989738,2016-06-29,10,NA,"LCD"
"183",809,37.530167,127.007439,2016-06-29,10,NA,"LCD"
"184",810,37.53841,126.986649,2016-06-29,10,NA,"LCD"
"185",811,37.53508,126.985382,2016-06-29,20,NA,"LCD"
"186",812,37.53484,126.977661,2016-06-29,20,NA,"LCD"
"187",813,37.533512,126.972275,2016-06-29,20,NA,"LCD"
"188",815,37.518509,126.978798,2016-06-29,20,NA,"LCD"
"189",816,37.530148,126.968483,2016-07-06,15,NA,"LCD"
"190",817,37.533451,126.971733,2016-07-06,9,NA,"LCD"
"191",818,37.544895,126.969383,2016-07-06,15,NA,"LCD"
"192",819,37.541653,126.970505,2016-07-06,12,NA,"LCD"
"193",820,37.549026,126.971947,2016-07-06,10,NA,"LCD"
"194",822,37.522041,126.965523,2016-07-06,10,NA,"LCD"
"195",823,37.54232,126.96196,2016-07-06,10,NA,"LCD"
"196",825,37.520336,126.994263,2016-07-06,15,NA,"LCD"
"197",827,37.541885,126.97966,2017-11-28,20,NA,"LCD"
"198",828,37.544079,126.972,2017-11-28,7,NA,"LCD"
"199",829,37.52293,126.961693,2017-11-28,40,NA,"LCD"
"200",830,37.534424,126.94857,2017-11-28,10,NA,"LCD"
"201",831,37.534279,126.988564,2017-11-28,15,NA,"LCD"
"202",832,37.521282,126.973465,2017-12-22,15,NA,"LCD"
"203",834,37.539009,126.96138,2017-12-22,15,NA,"LCD"
"204",835,37.541981,126.971542,2017-12-22,10,NA,"LCD"
"205",836,37.531422,126.9515,2017-12-22,15,NA,"LCD"
"206",837,37.52906,127.006729,2017-12-22,10,NA,"LCD"
"207",838,37.54446,126.972389,2018-12-14,8,NA,"LCD"
"208",839,37.52401,127.00145,2018-12-14,10,NA,"LCD"
"209",840,37.523651,126.970268,2018-10-14,10,NA,"LCD"
"210",841,37.52961,126.968872,2018-10-12,15,NA,"LCD"
"211",843,37.533798,126.98867,2018-10-07,10,NA,"LCD"
"212",844,37.527149,126.955162,2018-10-19,11,NA,"LCD"
"213",845,37.5327,126.964378,2018-09-09,22,NA,"LCD"
"214",846,37.546638,126.981041,2018-12-14,15,NA,"LCD"
"215",847,37.534523,126.977501,2020-03-28,NA,15,"QR"
"216",848,37.535259,126.975052,2020-03-28,NA,10,"QR"
"217",849,37.536079,126.973419,2020-03-30,NA,15,"QR"
"218",850,37.537399,126.968926,2020-03-28,NA,15,"QR"
"219",851,37.540478,126.958115,2020-03-28,NA,10,"QR"
"220",852,37.534527,126.947182,2020-03-28,NA,20,"QR"
"221",853,37.528568,126.965691,2020-04-07,NA,10,"QR"
"222",854,37.538727,127.001549,2020-04-05,NA,10,"QR"
"223",855,37.522724,126.972771,2020-04-07,NA,15,"QR"
"224",857,37.535023,126.998055,2020-04-07,NA,15,"QR"
